domaine,universite,etablissement,code_specialite,specialite,score_2023,score_2024,score_2025
آداب,جامعة تونس,كلية العلوم انسانية  واجتماعية  بتونس,10101,اجازة  في العربية,95.6117,97.875,99.8685
آداب,جامعة تونس,كلية العلوم انسانية  واجتماعية  بتونس,10102,اجازة  في انقليزية,112.1467,115.4263,104.785
آداب,جامعة تونس,كلية العلوم انسانية  واجتماعية  بتونس,10103,اجازة  في الفرنسية,71.7734,76.2884,68.2249
آداب,جامعة تونس,كلية العلوم انسانية  واجتماعية  بتونس,10120,اجازة  في عـلــم اجتماع,109.5627,109.6857,109.8569
آداب,جامعة تونس,كلية العلوم انسانية  واجتماعية  بتونس,10121,اجازة   في علم النـفـــس,130.475,131.195,123.985
آداب,جامعة تونس,كلية العلوم انسانية  واجتماعية  بتونس,10122,اجازة  في الفـلســفــة,98.6599,102.7735,95.3584
آداب,جامعة تونس,كلية العلوم انسانية  واجتماعية  بتونس,10123,اجازة  في التاريخ,85.2935,86.5966,88.17
آداب,جامعة تونس,كلية العلوم انسانية  واجتماعية  بتونس,10124,اجازة  في الجغرافيا,88.6199,86.0686,91.9367
آداب,جامعة تونس,المعهد العالي للتنشيط الشبابي والثقافي ببئر الباي,10443,اجازة  في الوساطة والتنشيط,100.36,104.335,105.5382
آداب,جامعة تونس,المعهد العالى للفنون الجميلة بتونس,10202,اجازة  في الفنون التشكيلية,91.4389,92.302,89.5235
آداب,جامعة تونس,المعهد العالى للفنون الجميلة بتونس,10207,اجازة  في تصميم الفضاء,126.6345,133.5467,115.72
آداب,جامعة تونس,المعهد العالى للفنون الجميلة بتونس,10208,اجازة  في تصميم المنتوج,137.4736,111.2152,113.9283
آداب,جامعة تونس,المعهد العالى للفنون الجميلة بتونس,10209,اجازة  في تصميم الصورة,111.5903,113.955,115.2016
آداب,جامعة تونس,المعهد العالي للموسيقى بتونس,10201,اجازة  في الموسيقى و العلوم الموسيقية,79.0569,98.275,83.6598
آداب,جامعة تونس,المعهدالعالي للفن  المسرحي بتونس,10200,اجازة  في المسرح  و فنون العرض,96.3101,96.9936,98.52
آداب,جامعة تونس,المعهد العالى لمهن التراث بتونس,10162,اجازة  في المحافظة على الممتلكات الثقافية و ترميمها,82.7556,77.3135,76.3899
آداب,جامعة تونس,المعهد التحضيري للدراسات ادبية  والعلوم  انسانية  بتونس,10190,المرحلة التحضيرية للغات واداب:عربية,101.9425,109.3725,113.565
آداب,جامعة تونس,المعهد التحضيري للدراسات ادبية  والعلوم  انسانية  بتونس,10191,المرحلة التحضيرية للغات واداب:فرنسية,81.5849,113.995,115.3425
آداب,جامعة تونس,المعهد التحضيري للدراسات ادبية  والعلوم  انسانية  بتونس,10192,المرحلة التحضيرية للغات واداب:انقليزية,144.0325,150.6825,144.54
آداب,جامعة تونس,المعهد التحضيري للدراسات ادبية  والعلوم  انسانية  بتونس,10193,المرحلة التحضيرية للعلوم انسانية:تاريخ,90.0934,91.4275,94.4577
آداب,جامعة تونس,المعهد التحضيري للدراسات ادبية  والعلوم  انسانية  بتونس,10194,المرحلة التحضيرية للعلوم انسانية:جغرافيا,86.5518,89.446,92.3425
آداب,جامعة تونس,المعهد التحضيري للدراسات ادبية  والعلوم  انسانية  بتونس,10195,المرحلة التحضيرية للعلوم انسانية:فلسفة,87.5744,93.415,91.78
آداب,جامعة تونس,المعهد العالي للدراسات التطبيقية في انسانيات  بزغوان,24477,اجازة  في التربية والتعليم,102.1285,121.505,128.955
آداب,جامعة منوبة,كلية اداب  والفنون وانسانيات  بمنوبة,10104,اجازة  في اسبانية,78.3633,89.8317,85.2635
آداب,جامعة منوبة,كلية اداب  والفنون وانسانيات  بمنوبة,10105,اجازة  في ايطالية,98.8912,100.0434,93.7267
آداب,جامعة منوبة,كلية اداب  والفنون وانسانيات  بمنوبة,10106,اجازة  في المانية,88.2051,93.0132,88.6886
آداب,جامعة منوبة,كلية اداب  والفنون وانسانيات  بمنوبة,10160,اجازة  في الجيوبوليتيك و العقات  الدولية,141.1567,147.29,138.2083
آداب,جامعة منوبة,كلية اداب  والفنون وانسانيات  بمنوبة,11101,اجازة  في العربية,94.4844,95.2407,97.0651
آداب,جامعة منوبة,كلية اداب  والفنون وانسانيات  بمنوبة,11102,اجازة  في انقليزية,109.6764,113.2383,99.8097
آداب,جامعة منوبة,كلية اداب  والفنون وانسانيات  بمنوبة,11103,اجازة  في الفرنسية,69.8618,73.0384,67.6717
آداب,جامعة منوبة,كلية اداب  والفنون وانسانيات  بمنوبة,11123,اجازة  في التاريخ,82.5931,72.8966,79.2181
آداب,جامعة منوبة,كلية اداب  والفنون وانسانيات  بمنوبة,11124,اجازة  في الجغرافيا,85.7177,73.905,87.2958
آداب,جامعة منوبة,كلية اداب  والفنون وانسانيات  بمنوبة,11190,المرحلة التحضيرية للغات واداب:عربية,90.5724,87.322,90.2052
آداب,جامعة منوبة,كلية اداب  والفنون وانسانيات  بمنوبة,11191,المرحلة التحضيرية للغات واداب:فرنسية,75.6552,75.5009,76.921
آداب,جامعة منوبة,كلية اداب  والفنون وانسانيات  بمنوبة,11192,المرحلة التحضيرية للغات واداب:انقليزية,126.755,123.8275,119.175
آداب,جامعة منوبة,معهد الصحافة وعلوم اخبار,10611,اجازة  في الصحافة,102.78,107.7875,102.0425
آداب,جامعة منوبة,معهد الصحافة وعلوم اخبار,10612,اجازة  في اتصال,97.59,98.495,97.3269
آداب,جامعة منوبة,المعهد العالي للتوثيق بتونس,10362,اجازة  في التصرف الكتروني  في المعلومات و الوثائق,104.2095,108.8533,108.36
آداب,جامعة منوبة,المعهد العالي للتوثيق بتونس,10363,اجازة  في التوثيق وعلوم المكتبات وارشيف,95.41,96.4967,96.4783
آداب,جامعة منوبة,المعهد العالي للتربية المختصة,10473,اجازة  في التربية المختصة,125.35,128.625,127.805
آداب,جامعة منوبة,المعهد العالي لفنون الملتميديا بمنوبة,10265,اجازة  في السينما والسمعي البصري,117.1115,121.7018,104.1699
آداب,جامعة منوبة,المعهد العالي لفنون الملتميديا بمنوبة,10622,اجازة  في الفنون و الوسائط,124.3233,128.5284,121.1401
آداب,جامعة منوبة,المدرسة العليا لعلوم و تكنولوجيات التصميم,11207,اجازة  في تصميم الفضاء,125.1686,128.425,123.4887
آداب,جامعة منوبة,المدرسة العليا لعلوم و تكنولوجيات التصميم,11208,اجازة  في تصميم المنتوج,117.3469,120.161,107.3211
آداب,جامعة منوبة,المدرسة العليا لعلوم و تكنولوجيات التصميم,11209,اجازة  في تصميم الصورة,117.725,113.1311,106.6737
آداب,جامعة منوبة,المعهد العالي للرياضة و التربية البدنية بقصر السعيد,10450,اجازة  في علوم وتقنيات انشطة  البدنية  والرياضة,153.8821,151.865,141.78
آداب,جامعة تونس المنار,كلية الطب بتونس,10700,الـطــب,163.79,173.59,166.345
آداب,جامعة تونس المنار,المدرسة العليا لعلوم وتقنيات الصحة بتونس,10742,اجازة  في حفظ الصحة والوقاية والمحيط,108.87,112.445,121.41
آداب,جامعة تونس المنار,المدرسة العليا لعلوم وتقنيات الصحة بتونس,10745,اجازة  في تقويـم النطـق والكم,119.91,124.605,128.745
آداب,جامعة تونس المنار,المدرسة العليا لعلوم وتقنيات الصحة بتونس,10747,اجازة  في التغذية البشرية,135.13,147.59,132.39
آداب,جامعة تونس المنار,المدرسة العليا لعلوم وتقنيات الصحة بتونس,10748,اجازة  في العج  بالعمل,126.795,122.985,134.225
آداب,جامعة تونس المنار,المدرسة العليا لعلوم وتقنيات الصحة بتونس,10754,اجازة  في الرعـايـة الصحية للطفل,128.919,164.0524,139.7206
آداب,جامعة تونس المنار,المدرسة العليا لعلوم وتقنيات الصحة بتونس,10799,اجازة  في علوم الـتــولـيـــد - قابلة,147.8954,157.0867,138.3831
آداب,جامعة تونس المنار,المدرسة العليا لعلوم وتقنيات الصحة بتونس,11744,اجازة  في العج  الطبيعي,,,88.2431
آداب,جامعة تونس المنار,كلية الحقوق والعلوم السياسية  بتونس,10301,اجازة  في القانون,127.835,128.9457,122.5525
آداب,جامعة تونس المنار,المعهد العالي للعلوم انسانية  بتونس,10118,اجازة  في انتروبولوجيا,103.2372,104.0199,102.3225
آداب,جامعة تونس المنار,المعهد العالي للعلوم انسانية  بتونس,10119,اجازة  في لغة اشارات,102.54,103.31,103.41
آداب,جامعة تونس المنار,المعهد العالي للعلوم انسانية  بتونس,10167,اجازة  في  اثار,96.4951,80.5408,92.5406
آداب,جامعة تونس المنار,المعهد العالي للعلوم انسانية  بتونس,11104,اجازة  في اسبانية,91.2998,112.185,101.9373
آداب,جامعة تونس المنار,المعهد العالي للعلوم انسانية  بتونس,11105,اجازة  في ايطالية,110.4595,104.365,105.8193
آداب,جامعة تونس المنار,المعهد العالي للعلوم انسانية  بتونس,11106,اجازة  في المانية,105.43,103.56,103.7334
آداب,جامعة تونس المنار,المعهد العالي للعلوم انسانية  بتونس,11120,اجازة  في عـلــم اجتماع,109.3273,108.1503,109.4129
آداب,جامعة تونس المنار,المعهد العالي للعلوم انسانية  بتونس,11121,اجازة   في علم النـفـــس,122.88,128.39,124.155
آداب,جامعة تونس المنار,المعهد العالي للعلوم انسانية  بتونس,11122,اجازة  في الفـلســفــة,95.4923,100.093,97.3913
آداب,جامعة تونس المنار,المعهد العالي للعلوم انسانية  بتونس,12101,اجازة  في العربية,92.5623,98.4972,97.7378
آداب,جامعة تونس المنار,المعهد العالي للعلوم انسانية  بتونس,12102,اجازة  في انقليزية,128.3091,130.895,126.99
آداب,جامعة تونس المنار,المعهد العالي للعلوم انسانية  بتونس,12103,اجازة  في الفرنسية,70.2231,67.5734,69.475
آداب,جامعة تونس المنار,المعهد العالي لعلوم التمريض بتونس,10797,اجازة  في علوم التمريض-اناث,145.335,174.7096,156.15
آداب,جامعة تونس المنار,المعهد العالي لعلوم التمريض بتونس,11797,اجازة  في علوم التمريض-ذكور,101.125,138.725,159.8045
آداب,جامعة  قرطاج,المدرسة الوطنية للهندسة المعمارية و التعمير بتونس,10203,الهندسة المعمارية,161.135,155.16,158.29
آداب,جامعة  قرطاج,المعهد  العالي طارات  الطفولة بقرطاج درمش,10470,اجازة  في علوم التربية,107.115,114.645,119.135
آداب,جامعة  قرطاج,كلية العلوم القانونية والسياسية واجتماعية  بتونس,11301,اجازة  في القانون,147.1892,147.45,139.5494
آداب,جامعة  قرطاج,المعهد الوطني للشغل والدراسات اجتماعية  بتونس,10346,اجازة  في القانون اجتماعي,110.71,112.655,112.965
آداب,جامعة  قرطاج,المعهد الوطني للشغل والدراسات اجتماعية  بتونس,10347,اجازة  في علوم الشغل,102.5334,102.44,105.9349
آداب,جامعة  قرطاج,المعهد الوطني للشغل والدراسات اجتماعية  بتونس,10355,اجازة  في الخدمة اجتماعية,105.05,109.835,111.245
آداب,جامعة  قرطاج,المعهد الوطني للشغل والدراسات اجتماعية  بتونس,10548,اجازة  في التدخل اجتماعي,102.095,106.405,108.6633
آداب,جامعة  قرطاج,المعهد العالي للغات بتونس,10107,اجازة  في الروسية,80.9145,76.9383,84.6632
آداب,جامعة  قرطاج,المعهد العالي للغات بتونس,10108,اجازة  في الصينية,84.3057,75.5052,94.6117
آداب,جامعة  قرطاج,المعهد العالي للغات بتونس,12104,اجازة  في اسبانية,82.7574,96.4801,86.4808
آداب,جامعة  قرطاج,المعهد العالي للغات بتونس,12105,اجازة  في ايطالية,101.37,86.7249,89.5281
آداب,جامعة  قرطاج,المعهد العالي للغات بتونس,12106,اجازة  في المانية,102.7789,86.8801,86.3652
آداب,جامعة  قرطاج,المعهد العالي للغات بتونس,13101,اجازة  في العربية,92.2465,92.6133,94.9628
آداب,جامعة  قرطاج,المعهد العالي للغات بتونس,13102,اجازة  في انقليزية,109.135,115.346,99.4633
آداب,جامعة  قرطاج,المعهد العالي للغات بتونس,13103,اجازة  في الفرنسية,71.3568,71.055,73.5198
آداب,جامعة  قرطاج,المعهد العالى للفنون الجميلة بنابل,22202,اجازة  في الفنون التشكيلية,89.4602,87.2735,85.7949
آداب,جامعة  قرطاج,المعهد العالى للفنون الجميلة بنابل,22207,اجازة  في تصميم الفضاء,124.18,122.6969,129.684
آداب,جامعة  قرطاج,المعهد العالى للفنون الجميلة بنابل,22208,اجازة  في تصميم المنتوج,115.1909,107.69,110.79
