"domaine","code_specialite","nom_specialite","universite","institution","baccalaureat","score_2023","score_2024","score_2025"
"ﺍﻵﺩﺍﺏ ﻭﺍﻟﻠﻐﺎﺕ ﻭﺍﻟﻤﺮﺍﺣﻞ ﺍﻟﺘﺤﻀﻴﺮﻳﺔ ﺍﻷﺩﺑﻴﺔ","10101","ﺍﻹﺟﺎﺯﺓ ﻓﻲ ﺍﻟﻌﺮﺑﻴﺔ","ﺟﺎﻣﻌﺔ ﺗﻮﻧﺲ","ﻛﻠﻴﺔ ﺍﻟﻌﻠﻮﻡ ﺍﻹﻧﺴﺎﻧﻴﺔ ﻭﺍﻹﺟﺘﻤﺎﻋﻴﺔ ﺑﺘﻮﻧﺲ","ﺁﺩﺍﺏ","95.6117","97.875","99.8685"
"ﺍﻵﺩﺍﺏ ﻭﺍﻟﻠﻐﺎﺕ ﻭﺍﻟﻤﺮﺍﺣﻞ ﺍﻟﺘﺤﻀﻴﺮﻳﺔ ﺍﻷﺩﺑﻴﺔ","10101","ﺍﻹﺟﺎﺯﺓ ﻓﻲ ﺍﻟﻌﺮﺑﻴﺔ","ﺟﺎﻣﻌﺔ ﺗﻮﻧﺲ","ﻛﻠﻴﺔ ﺍﻟﻌﻠﻮﻡ ﺍﻹﻧﺴﺎﻧﻴﺔ ﻭﺍﻹﺟﺘﻤﺎﻋﻴﺔ ﺑﺘﻮﻧﺲ","ﺭﻳﺎﺿﻴﺎﺕ","0","0","0"
"ﺍﻵﺩﺍﺏ ﻭﺍﻟﻠﻐﺎﺕ ﻭﺍﻟﻤﺮﺍﺣﻞ ﺍﻟﺘﺤﻀﻴﺮﻳﺔ ﺍﻷﺩﺑﻴﺔ","10101","ﺍﻹﺟﺎﺯﺓ ﻓﻲ ﺍﻟﻌﺮﺑﻴﺔ","ﺟﺎﻣﻌﺔ ﺗﻮﻧﺲ","ﻛﻠﻴﺔ ﺍﻟﻌﻠﻮﻡ ﺍﻹﻧﺴﺎﻧﻴﺔ ﻭﺍﻹﺟﺘﻤﺎﻋﻴﺔ ﺑﺘﻮﻧﺲ","ﻋﻠﻮﻡ ﺗﺠﺮﻳﺒﻴﺔ","129.1169","130.9413","122.105"
"ﺍﻵﺩﺍﺏ ﻭﺍﻟﻠﻐﺎﺕ ﻭﺍﻟﻤﺮﺍﺣﻞ ﺍﻟﺘﺤﻀﻴﺮﻳﺔ ﺍﻷﺩﺑﻴﺔ","10101","ﺍﻹﺟﺎﺯﺓ ﻓﻲ ﺍﻟﻌﺮﺑﻴﺔ","ﺟﺎﻣﻌﺔ ﺗﻮﻧﺲ","ﻛﻠﻴﺔ ﺍﻟﻌﻠﻮﻡ ﺍﻹﻧﺴﺎﻧﻴﺔ ﻭﺍﻹﺟﺘﻤﺎﻋﻴﺔ ﺑﺘﻮﻧﺲ","ﺇﻗﺘﺼﺎﺩ ﻭﺗﺼﺮﻑ","86.7539","73.8752","92.3517"
"ﺍﻵﺩﺍﺏ ﻭﺍﻟﻠﻐﺎﺕ ﻭﺍﻟﻤﺮﺍﺣﻞ ﺍﻟﺘﺤﻀﻴﺮﻳﺔ ﺍﻷﺩﺑﻴﺔ","10101","ﺍﻹﺟﺎﺯﺓ ﻓﻲ ﺍﻟﻌﺮﺑﻴﺔ","ﺟﺎﻣﻌﺔ ﺗﻮﻧﺲ","ﻛﻠﻴﺔ ﺍﻟﻌﻠﻮﻡ ﺍﻹﻧﺴﺎﻧﻴﺔ ﻭﺍﻹﺟﺘﻤﺎﻋﻴﺔ ﺑﺘﻮﻧﺲ","ﻋﻠﻮﻡ ﺍﻹﻋﻼﻣﻴﺔ","147.9275","98.1888","117.4165"
"ﺍﻵﺩﺍﺏ ﻭﺍﻟﻠﻐﺎﺕ ﻭﺍﻟﻤﺮﺍﺣﻞ ﺍﻟﺘﺤﻀﻴﺮﻳﺔ ﺍﻷﺩﺑﻴﺔ","10102","ﺍﻹﺟﺎﺯﺓ ﻓﻲ ﺍﻹﻧﻘﻠﻴﺰﻳﺔ","ﺟﺎﻣﻌﺔ ﺗﻮﻧﺲ","ﻛﻠﻴﺔ ﺍﻟﻌﻠﻮﻡ ﺍﻹﻧﺴﺎﻧﻴﺔ ﻭﺍﻹﺟﺘﻤﺎﻋﻴﺔ ﺑﺘﻮﻧﺲ","ﺁﺩﺍﺏ","112.1467","115.4263","104.785"
"ﺍﻵﺩﺍﺏ ﻭﺍﻟﻠﻐﺎﺕ ﻭﺍﻟﻤﺮﺍﺣﻞ ﺍﻟﺘﺤﻀﻴﺮﻳﺔ ﺍﻷﺩﺑﻴﺔ","10102","ﺍﻹﺟﺎﺯﺓ ﻓﻲ ﺍﻹﻧﻘﻠﻴﺰﻳﺔ","ﺟﺎﻣﻌﺔ ﺗﻮﻧﺲ","ﻛﻠﻴﺔ ﺍﻟﻌﻠﻮﻡ ﺍﻹﻧﺴﺎﻧﻴﺔ ﻭﺍﻹﺟﺘﻤﺎﻋﻴﺔ ﺑﺘﻮﻧﺲ","ﺭﻳﺎﺿﻴﺎﺕ","155.2196","110.4043","136.07"
"ﺍﻵﺩﺍﺏ ﻭﺍﻟﻠﻐﺎﺕ ﻭﺍﻟﻤﺮﺍﺣﻞ ﺍﻟﺘﺤﻀﻴﺮﻳﺔ ﺍﻷﺩﺑﻴﺔ","10102","ﺍﻹﺟﺎﺯﺓ ﻓﻲ ﺍﻹﻧﻘﻠﻴﺰﻳﺔ","ﺟﺎﻣﻌﺔ ﺗﻮﻧﺲ","ﻛﻠﻴﺔ ﺍﻟﻌﻠﻮﻡ ﺍﻹﻧﺴﺎﻧﻴﺔ ﻭﺍﻹﺟﺘﻤﺎﻋﻴﺔ ﺑﺘﻮﻧﺲ","ﻋﻠﻮﻡ ﺗﺠﺮﻳﺒﻴﺔ","142.7327","151.817","124.25"
"ﺍﻵﺩﺍﺏ ﻭﺍﻟﻠﻐﺎﺕ ﻭﺍﻟﻤﺮﺍﺣﻞ ﺍﻟﺘﺤﻀﻴﺮﻳﺔ ﺍﻷﺩﺑﻴﺔ","10102","ﺍﻹﺟﺎﺯﺓ ﻓﻲ ﺍﻹﻧﻘﻠﻴﺰﻳﺔ","ﺟﺎﻣﻌﺔ ﺗﻮﻧﺲ","ﻛﻠﻴﺔ ﺍﻟﻌﻠﻮﻡ ﺍﻹﻧﺴﺎﻧﻴﺔ ﻭﺍﻹﺟﺘﻤﺎﻋﻴﺔ ﺑﺘﻮﻧﺲ","ﺇﻗﺘﺼﺎﺩ ﻭﺗﺼﺮﻑ","91.4209","107.5939","81.2024"
"ﺍﻵﺩﺍﺏ ﻭﺍﻟﻠﻐﺎﺕ ﻭﺍﻟﻤﺮﺍﺣﻞ ﺍﻟﺘﺤﻀﻴﺮﻳﺔ ﺍﻷﺩﺑﻴﺔ","10102","ﺍﻹﺟﺎﺯﺓ ﻓﻲ ﺍﻹﻧﻘﻠﻴﺰﻳﺔ","ﺟﺎﻣﻌﺔ ﺗﻮﻧﺲ","ﻛﻠﻴﺔ ﺍﻟﻌﻠﻮﻡ ﺍﻹﻧﺴﺎﻧﻴﺔ ﻭﺍﻹﺟﺘﻤﺎﻋﻴﺔ ﺑﺘﻮﻧﺲ","ﺍﻟﻌﻠﻮﻡ ﺍﻟﺘﻘﻨﻴﺔ","118.555","122.9663","127.633"
